11/07/2010,4,13,18,34,39,42
11/07/2010,0,5,9,19,20,42
11/07/2010,11,12,18,28,34,37
11/07/2010,6,10,19,20,37,45
14/07/2010,9,10,15,27,31,45
14/07/2010,6,10,12,26,27,38
14/07/2010,13,17,25,27,28,35
14/07/2010,7,14,19,20,21,44
18/07/2010,6,9,24,29,37,41
18/07/2010,3,19,28,29,39,42
18/07/2010,9,12,18,23,32,45
18/07/2010,8,10,19,27,38,41
21/07/2010,0,3,15,17,20,38
21/07/2010,2,9,12,21,28,35
21/07/2010,4,5,10,14,20,32
21/07/2010,0,2,23,29,39,44
25/07/2010,1,28,35,40,41,43
25/07/2010,0,3,5,14,16,40
25/07/2010,7,8,23,28,34,41
25/07/2010,5,16,24,25,30,39
28/07/2010,3,12,15,21,28,44
28/07/2010,2,6,8,18,25,31
28/07/2010,3,4,9,21,25,35
28/07/2010,2,4,5,10,37,41
01/08/2010,6,19,21,23,35,40
01/08/2010,8,20,23,31,37,42
01/08/2010,1,13,16,36,40,41
01/08/2010,0,21,25,36,39,43
04/08/2010,1,2,3,4,11,42
04/08/2010,11,16,33,36,41,44
04/08/2010,4,9,28,33,39,44
04/08/2010,17,20,32,34,37,40
08/08/2010,17,18,19,21,26,33
08/08/2010,3,4,9,11,14,29
08/08/2010,1,17,38,41,42,44
08/08/2010,15,16,20,31,32,39
11/08/2010,1,25,35,40,41,45
11/08/2010,7,11,17,18,30,38
11/08/2010,5,6,7,35,38,39
11/08/2010,7,10,12,17,23,43
15/08/2010,2,3,20,24,39,42
15/08/2010,8,23,29,32,39,44
15/08/2010,2,4,17,30,32,42
15/08/2010,1,6,10,38,43,45
18/08/2010,0,4,6,10,19,24
18/08/2010,4,18,25,38,42,43
18/08/2010,4,13,18,28,37,44
18/08/2010,2,8,10,11,40,45
22/08/2010,2,3,5,19,21,33
22/08/2010,2,3,13,35,38,40
22/08/2010,6,10,19,21,37,44
22/08/2010,0,3,7,9,20,30
25/08/2010,6,9,29,30,33,44
25/08/2010,3,4,8,9,22,26
25/08/2010,6,15,19,38,42,45
25/08/2010,1,8,18,23,24,35
29/08/2010,3,25,28,33,35,44
29/08/2010,1,6,8,11,24,35
29/08/2010,10,13,15,24,33,41
29/08/2010,6,13,24,34,42,45
01/09/2010,8,11,13,17,27,40
01/09/2010,1,9,26,27,28,31
01/09/2010,10,22,27,29,34,39
01/09/2010,9,12,17,18,22,44
05/09/2010,9,31,35,37,40,41
05/09/2010,1,8,11,18,22,44
05/09/2010,7,9,12,20,26,39
05/09/2010,2,6,10,13,33,36
08/09/2010,3,4,16,18,31,36
08/09/2010,3,23,27,32,33,35
08/09/2010,6,31,34,35,36,45
08/09/2010,3,8,9,22,30,35
12/09/2010,3,15,29,30,37,44
12/09/2010,3,15,23,32,36,40
